State,LGA,Ward,PU-Code,,,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ENUGU,ENUGU EAST,ABAKPA I,14-03-01-002,,,ABAKPA VILLAGE PRIMARY SCHOOL II,129,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,127,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39211/result_156923_1677563915_thumb.jpg
ENUGU,ENUGU EAST,ABAKPA I,14-03-01-003,,,ABAKPA VILLAGE PRIMARY SCHOOL III,221,1287,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,216,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39212/result_156924_1677534151_thumb.jpg
ENUGU,ENUGU EAST,ABAKPA I,14-03-01-014,,,HOUSING ESTATE PRIMARY SCHOOL II,187,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39222/result_156934_1677532815_thumb.jpg
ENUGU,ENUGU EAST,ABAKPA I,14-03-01-015,,,HOUSING ESTATE PRIMARY SCHOOL IV,187,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/015/015-1677383713.pdf
ENUGU,ENUGU EAST,ABAKPA I,14-03-01-017,,,HOUSING ESTATE PRIMARY SCHOOL VI,217,898,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,209,0,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39226/result_156938_1677566858_thumb.jpg
ENUGU,ENUGU EAST,ABAKPA I,14-03-01-020,,,HOUSING ESTATE PRIMARY SCHOOL VIII,158,862,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39228/result_156940_1677533373_thumb.jpg
ENUGU,ENUGU EAST,ABAKPA I,14-03-01-032,,,ABAKPA GIRLS SEC. SCH. I,691,3073,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,675,5,4,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39241/result_156953_1677531961_thumb.jpg
ENUGU,ENUGU EAST,ABAKPA II,14-03-02-010,,,TIPPER PARK I,270,1323,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,0,255,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39252/result_157002_1677505110_thumb.jpg
ENUGU,ENUGU EAST,UMUENWENE,14-03-03-001,,,NIKE TOWN HALL I,500,2149,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,4,450,7,7,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39264/result_157038_1677536789_thumb.jpg
ENUGU,ENUGU EAST,UMUENWENE,14-03-03-006,,,OBINAGU VILLA I,163,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,147,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39269/result_157043_1677537272_thumb.jpg
